[GIN] 2026/08/05 - 14:20:50 | 200 |   5.21ms |             ::1 | GET      "/assets/index-BJx1pmqO.js"
[GIN] 2026/08/05 - 14:20:50 | 200 | 15.786µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:20:50 | 200 |   3.62ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:20:56 | 304 |   2.52ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:20:56 | 200 | 30.674µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:20:56 | 304 |   2.43ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:20:57 | 200 |     37µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:20:57 | 304 |   3.44ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:20:57 | 200 | 37.958µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:20:58 | 304 |   2.96ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:20:58 | 200 | 46.773µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:20:59 | 304 |   2.75ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:20:59 | 200 | 25.954µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:20:59 | 304 |   3.36ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:20:59 | 200 | 32.918µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:21:06 | 200 |  30.03ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:21:06 | 200 |  12.61ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:21:07 | 200 | 115.41ms |             ::1 | GET      "/assets/index-CL0Bkhm1.js"
[GIN] 2026/08/05 - 14:21:07 | 200 | 55.425µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:21:07 | 200 |   3.38ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:21:05 | 200 |   5.13ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:21:05 | 200 |   3.09ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:21:05 | 200 |   6.16ms |             ::1 | GET      "/assets/index-CL0Bkhm1.js"
[GIN] 2026/08/05 - 14:21:05 | 200 | 18.066µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:21:05 | 200 |   3.47ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:22:01 | 304 |   1.97ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:22:01 | 304 |   2.96ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:22:01 | 304 |   3.86ms |             ::1 | GET      "/assets/index-CL0Bkhm1.js"
[GIN] 2026/08/05 - 14:22:01 | 200 | 26.772µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:22:01 | 304 |   4.05ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:22:10 | 304 |   3.02ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:22:10 | 304 |   4.12ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:22:10 | 304 |   6.01ms |             ::1 | GET      "/assets/index-CL0Bkhm1.js"
[GIN] 2026/08/05 - 14:22:10 | 200 | 24.771µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:22:10 | 304 |      4ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:22:12 | 200 |    2.7ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:22:12 | 200 |   4.45ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:22:12 | 200 |     10ms |             ::1 | GET      "/assets/index-CL0Bkhm1.js"
[GIN] 2026/08/05 - 14:22:12 | 200 | 54.413µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:22:13 | 404 |   2.54ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:22:13 | 200 |  33.11ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:22:13 | 200 |  13.36ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:22:13 | 200 | 116.17ms |             ::1 | GET      "/assets/index-CGtpyOV5.js"
[GIN] 2026/08/05 - 14:22:13 | 200 | 30.175µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:22:13 | 200 |   3.65ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:22:14 | 200 |   5.07ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:22:14 | 200 |   3.23ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:22:14 | 200 |   6.05ms |             ::1 | GET      "/assets/index-CGtpyOV5.js"
[GIN] 2026/08/05 - 14:22:14 | 200 | 27.172µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:22:14 | 200 |   3.19ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:22:17 | 304 |   3.85ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:22:17 | 200 |   1.75ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:23:12 | 304 |   2.79ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:23:23 | 304 |   2.29ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:23:24 | 304 |   2.36ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:23:24 | 304 |   4.43ms |             ::1 | GET      "/assets/index-CGtpyOV5.js"
[GIN] 2026/08/05 - 14:23:24 | 304 |   3.03ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:23:24 | 200 | 57.663µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:23:24 | 304 |   3.57ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:23:24 | 304 |   2.41ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:23:24 | 200 | 33.275µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:23:25 | 304 |   2.39ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:23:25 | 200 | 27.542µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:23:25 | 304 |   2.03ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:23:25 | 200 | 27.581µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:23:26 | 304 |   2.88ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:23:26 | 200 | 33.108µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:23:33 | 200 |  20.05ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:23:33 | 200 |  13.49ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:23:33 | 200 |   1.42ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:23:33 | 200 | 138.81ms |             ::1 | GET      "/assets/index-CJ4STKqk.js"
[GIN] 2026/08/05 - 14:23:33 | 200 | 83.933µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:23:33 | 200 |   3.73ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:23:34 | 304 |   2.55ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:23:34 | 304 |   2.37ms |             ::1 | GET      "/.well-known/appspecific/com.chrome.devtools.json"
[GIN] 2026/08/05 - 14:23:34 | 304 |    2.5ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
[GIN] 2026/08/05 - 14:23:34 | 304 |   4.65ms |             ::1 | GET      "/assets/index-CJ4STKqk.js"
[GIN] 2026/08/05 - 14:23:34 | 200 | 33.204µs |             ::1 | GET      "/api/config"
[GIN] 2026/08/05 - 14:23:34 | 304 |    4.2ms |             ::1 | GET      "/assets/favicon.png"
[GIN] 2026/08/05 - 14:24:16 | 200 |   6.94ms |             ::1 | GET      "/login"
[GIN] 2026/08/05 - 14:24:17 | 200 |   4.26ms |             ::1 | GET      "/assets/index-C4cmSzCM.css"
